contract_number,county,project_description,project_length,project_length_unit
CNU167,FAYETTE,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU171,FENTRESS,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU173,GIBSON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU176,GRAINGER,THE RESURFACING ON U.S. 25E (S.R. 32) FROM NEAR MOUNTAIN VIEW ROAD (L.M. 10.52) TO NEAR THE BRIDGE OVER THE CLINCH RIVER (L.M. 17.00).,5.93,MILES
CNU189,GRUNDY,THE REPAIR OF THE BRIDGE ON S.R. 108 OVER PINEY CREEK (L.M. 18.20).,0,MILES
CNU093,HAMBLEN AND JEFFERSON,"THE RESURFACING ON S.R. 341 IN JEFFERSON COUNTY AND IN HAMBLEN COUNTY THE RESURFACING ON S.R. 160 AND S.R. 474, INCLUDING INTERSECTION IMPROVEMENTS ON U.S. 11E (S.R. 34) AND S.R. 160 AT COMMERCE BOULEVARD.",6.855,MILES
CNU196,HAMILTON,THE RESURFACING ON S.R. 153 FROM NORTH OF S.R. 58 (L.M. 4.76) TO THE TENNESSEE RIVER BRIDGE (L.M. 6.47).,1.71,MILES
CNU182,HAMILTON,"THE TUNNEL CLEANING OF THE MCCALLIE TUNNEL ON U.S. 11 (U.S. 64, S.R. 2), THE STRINGERS RIDGE TUNNEL ON U.S. 127 (S.R. 8), AND THE BACHMAN TUBES ON U.S. 41 (U.S. 76, S.R. 8).",0,MILES
CNU197,HENDERSON,THE RESURFACING WITH DOUBLE BITUMINOUS SURFACE TREATMENT (DBST) ON S.R. 421 FROM THE HARDIN COUNTY LINE (L.M. 0.00) TO S.R. 201 (L.M. 2.00).,2,MILES
CNU190,HOUSTON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU170,JACKSON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU194,JEFFERSON,"THE RESURFACING USING EITHER THIN LIFT (TL) OR THIN LIFT D (TLD) ON U.S. 25E (S.R. 32) FROM NEAR THE FRENCH BROAD RIVER BRIDGE (L.M. 0.26) TO NEAR HARRISON ROAD (L.M. 6.08), INCLUDING BRIDGE REPAIR.",5.82,MILES
CNU204,KNOX,THE RESURFACING ON U.S. 11 (S.R. 1) FROM NEAR I-140 (L.M. 6.94) TO NEAR SOUTH PETERS ROAD (L.M. 12.00).,2.26,MILES
CNU222,KNOX,THE EMERGENCY SLOPE STABILIZATION ON S.R. 332 NEAR L.M. 2.40.,0.11,MILES
CNU181,KNOX,THE TUNNEL CLEANING ON THE HENLEY STREET CONNECTOR TUNNEL ON S.R. 1 AND THE SMARTFIX TUNNEL ON S.R. 158 (JAMES WHITE PARKWAY).,0,MILES
CNU201,LAUDERDALE,"THE FULL DEPTH RECLAMATION AND RESURFACING WITH DOUBLE BITUMINOUS SURFACE TREATMENT (DBST) ON S.R. 88 FROM DEE WEBB ROAD (L.M. 0.00) TO KEY CORNER ROAD (L.M. 9.36), INCLUDING BRIDGE DECK REPAIR.",9.36,MILES
CNU159,LAUDERDALE,THE RESURFACING WITH HOT IN-PLACE RECYCLING ON S.R. 19 FROM NEAR EASTLAND AVENUE (L.M. 21.99) TO THE HAYWOOD COUNTY LINE (L.M. 26.14).,4.15,MILES
CNU223,LAWRENCE,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE FROM U.S. 64BP (S.R. 15) TO THE LAWRENCE COUNTY HIGHER EDUCATION CENTER.",0.495,MILES
CNU188,LAWRENCE AND WAYNE,THE RESURFACING ON U.S. 64 (S.R. 15) FROM THE NATCHEZ TRACE PARKWAY OVERPASS (L.M. 25.80) IN WAYNE COUNTY TO WEST OF SCENIC ROAD (L.M. 3.33) IN LAWRENCE COUNTY.,3.64,MILES
CNU185,LINCOLN,"THE RESURFACING ON U.S. 431 (S.R. 50) FROM THE MARSHALL COUNTY LINE (L.M. 0.00) TO NEAR SOUTH FISHING FORD ROAD (L.M. 6.00), INCLUDING BRIDGE DECK REPAIR.",6,MILES
CNU161,MADISON,THE REPAIR OF THE BRIDGES ON I-40 OVER U.S. 412 (S.R. 20) (L.M. 12.01) IN JACKSON.,0,MILES
CNU156,MARION,THE RESURFACING ON S.R. 156 FROM EAST OF ORME MOUNTAIN ROAD (L.M. 9.31) TO NEAR ELM AVENUE (L.M. 14.51).,5.2,MILES
CNU211,MCMINN,THE RESURFACING ON S.R. 39 FROM MAPLE STREET (L.M. 15.22) TO EAST OF COUNTY ROAD 469 (L.M. 19.65).,4.43,MILES
CNU137,MCMINN AND POLK,THE RESURFACING ON S.R. 163 FROM WEST OF CR-750 (PINEY GROVE ROAD) (L.M. 8.95) IN MCMINN COUNTY TO U.S. 411 (S.R. 30) (L.M. 0.93) IN POLK COUNTY.,6.55,MILES
CNU163,MEIGS,THE RESURFACING ON S.R. 58 FROM NORTH OF TEN MILE ROAD (L.M. 31.26) TO THE ROANE COUNTY LINE (L.M. 35.08).,3.82,MILES
CNU029,PERRY,"THE GRADING, DRAINAGE AND PAVING AT 4 LOCATIONS ON S.R. 13 FROM U.S. 412 (S.R. 20) (L.M. 13.02) TO SOUTH OF THE HUMPHREYS COUNTY LINE (L.M. 19.38).",2.097,MILES
CNU215,RHEA,THE RESURFACING ON S.R. 302 FROM S.R. 30 (L.M. 0.00) TO S.R. 68 (L.M. 8.87).,8.87,MILES
CNU224,ROANE,THE EMERGENCY SLOPE STABILIZATION ON I-40 EB BETWEEN M.M. 342 AND M.M. 344 AND I-40 WB NEAR M.M. 342.,1.311,MILES
CNU208,RUTHERFORD,THE RESURFACING ON S.R. 99 FROM NEAR ROCKVALE ROAD (L.M. 6.94) TO EAST OF CLEARIDGE DRIVE (L.M. 12.45).,5.51,MILES
CNU218,SMITH,THE EMERGENCY SLOPE STABILIZATION ON S.R. 80 NEAR L.M. 4.2.,0.227,MILES
CNU186,STEWART,THE RESURFACING ON S.R. 233 FROM S.R. 46 (L.M. 8.37) TO THE MONTGOMERY COUNTY LINE (L.M. 12.07).,3.7,MILES
CNU217,SULLIVAN AND WASHINGTON,THE RESURFACING ON S.R. 93 IN WASHINGTON COUNTY FROM NEAR S.R. 81 TO NEAR DAVIS ROAD (L.M. 1.11 - 3.10) AND ON S.R. 137 IN SULLIVAN COUNTY FROM NEAR U.S. 11W (S.R. 1) TO THE VIRGINIA STATE LINE (L.M. 0.00 - 3.03).,5.02,MILES
CNU187,SUMNER,THE RESURFACING ON S.R. 25 FROM KRAFT STREET (L.M. 15.98) TO THE TROUSDALE COUNTY LINE (L.M. 25.26).,9.28,MILES
CNU195,TROUSDALE,THE REPAIR OF THE BRIDGE ON S.R. 141 OVER THE CUMBERLAND RIVER (L.M. 6.25).,0,MILES
CNU024,WARREN,THE RESURFACING ON S.R. 286 FROM EAST OF SOUTH CHANCERY STREET (L.M. 0.00) TO WEST OF S.R. 380 (L.M. 2.79) AND ON S.R. 55 FROM NORTH OF OLD WELL ROAD (L.M. 4.76) TO NORTH OF HALLUM LANE (L.M. 8.56).,6.59,MILES
CNU191,WAYNE,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU214,WAYNE,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING C-WOOD LUMBER IN COLLINWOOD.",1.7,MILES
CNU168,WHITE,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU212,WILLIAMSON,THE RESURFACING ON U.S. 31 (S.R. 6) FROM SOUTH OF HILLVIEW LANE (L.M. 10.00) TO COUNTRY ROAD (L.M. 15.68).,5.68,MILES
CNU919,CUMBERLAND,THE MISCELLANEOUS SAFETY IMPROVEMENTS INCLUDING RESURFACING ON U.S. 70 (S.R. 1) FROM NEAR ARTHUR SEAGRAVES ROAD (L.M. 2.50) TO NEAR WOODRIDGE LANE (L.M. 6.00).,3.5,MILES
CNU920,DECATUR,"THE INSTALLATION OF SIGNALS ON U.S. 412 (S.R. 20, WEST MAIN STREET) AT S.R. 69 (TENNESSEE AVENUE) (L.M. 3.59) IN PARSONS.",0.112,MILES
CNU921,RUTHERFORD,THE INSTALLATION OF AN OVERHEAD SIGN STRUCTURE ON I-24 EB AT L.M. 17.86 (EXIT 81A AND 81B).,0,MILES
CNU327,"ANDERSON, BLOUNT, CAMPBELL, COCKE, GRAINGER, JEFFERSON, KNOX, LOUDON, MONROE, ROANE, AND SEVIER",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNU330,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDIN, HAYWOOD, HENDERSON, HENRY,
MADISON, MCNAIRY, OBION, SHELBY, AND WEAKLEY",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNU317,BLOUNT,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON U.S. 129 (U.S. 411, S.R. 33) AT FOOTHILLS MALL DRIVE/MONTGOMERY LANE (L.M. 10.21).",0.497,MILES
CNU328,"BRADLEY, GRUNDY, HAMILTON, MARION, PUTNAM, SEQUATCHIE, AND WHITE",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNU311,CANNON,THE MISCELLANEOUS SAFETY IMPROVEMENTS INCLUDING HIGH FRICTION SURFACE TREATMENT (HFST) ON VARIOUS LOCAL ROADS.,0,MILES
CNU326,"CARTER, GREENE, SULLIVAN, UNICOI, AND WASHINGTON",THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNU316,COFFEE,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON S.R. 55 FROM BELMONT ROAD (L.M. 9.98) TO BOWLING ALLEY ROAD (L.M. 10.24) IN MANCHESTER, INCLUDING GRADING, DRAINAGE AND PAVING.",0.27,MILES
CNU329,"DAVIDSON, HUMPHREYS, MONTGOMERY, ROBERTSON, RUTHERFORD, SUMNER, WILLIAMSON, AND WILSON",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNU314,HARDIN,"THE GRADING, DRAINAGE AND PAVING ON S.R. 128 FROM SOUTH OF PYBURNS DRIVE (L.M. 3.11) TO NORTH OF S.R. 226 (AIRPORT ROAD) (L.M. 6.54).",3.43,MILES
CNU001,HAWKINS,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON U.S. 11W (S.R. 1) AND VARIOUS LOCAL ROUTES.,9.54,MILES
CNU334,KNOX,"THE ANNUAL PREVENTATIVE AND UNSCHEDULED MAINTENANCE ON THE KNOXVILLE SMARTWAY I.T.S. SYSTEM EQUIPMENT, INCLUDING THE TRANSPORTATION MANAGEMENT CENTER.",0,MILES
CNU260,KNOX,THE INSTALLATION OF TDOT SMARTWAY INTELLIGENT TRANSPORTATION SYSTEM (ITS) I-40/I-640 TRAVELER INFORMATION MESSAGE BOARDS.,0.411,MILES
CNU322,LOUDON,"THE INTERCHANGE LIGHTING ON I-75 AT THE JUNCTION WITH U.S. 321 (S.R. 73) (EXIT 81, L.M. 14.98).",0.677,MILES
CNU312,LOUDON,"THE GRADING, DRAINAGE AND PAVING ON U.S. 11 (S.R. 2) FROM SOUTH OF LOUDON MIDDLE SCHOOL (L.M. 5.13) TO NORTH OF CARTER STREET (L.M. 5.35).",0.227,MILES
CNU315,MADISON,"THE WIDENING ON I-40 FROM EAST OF U.S. 45 (S.R. 5) (L.M. 15.09) TO EAST OF U.S. 70 (S.R. 1) (L.M. 20.60) IN JACKSON, INCLUDING BRIDGES, RETAINING WALLS AND INSTALLATION OF TDOT SMARTWAY INTELLIGENT TRANSPORTATION SYSTEM.",5.46,MILES
CNU100,MORGAN,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU291,PICKETT,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU270,PUTNAM,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON S.R. 135 (BURGESS FALLS ROAD) AT THE INTERSECTION OF WEST CEMETERY ROAD (L.M. 6.58).",0.256,MILES
CNU246,ROBERTSON,"THE IMPROVEMENT OF THE INTERSECTION ON S.R. 25 AT S.R. 49, INCLUDING GRADING, DRAINAGE AND PAVING (L.M. 7.5 - L.M. 7.8).",0.312,MILES
CNU125,SMITH,THE ROCKFALL MITIGATION ON S.R. 25 AT L.M. 6.6.,0.294,MILES
CNU175,WASHINGTON,THE MISCELLANEOUS SAFETY IMPROVEMENTS ON VARIOUS LOCAL ROADS.,0,MILES
CNU264,WILSON,"THE GRADING, DRAINAGE, CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE, RETAINING WALL, SIGNALS AND PAVING ON S.R. 171 (MT. JULIET ROAD) AT THE I-40 OVERPASS (L.M. 4.57 - L.M. 5.29).",0.72,MILES
CNR944,"CUMBERLAND, ROANE, AND WHITE","THE MISCELLANEOUS SAFETY IMPROVEMENTS ON U.S. 70 (S.R. 26), S.R. 419 AND OLD ROCKWOOD ROAD/BLACK HOLLOW ROAD.",4.28,MILES
CNR943,ROANE,"THE CONSTRUCTION OF A SMALL DRAINAGE STRUCTURE ON S.R. 95 OVER BEAR CREEK (L.M. 4.19), INCLUDING GRADING, DRAINAGE AND PAVING.",0,MILES
CNR281,"ANDERSON, BLOUNT, CAMPBELL, COCKE, GREENE, JEFFERSON, KNOX, LOUDON, MONROE, ROANE, SEVIER, SULLIVAN, AND
WASHINGTON","THE ANNUAL PREVENTATIVE AND UNSCHEDULED MAINTENANCE ON THE KNOXVILLE I.T.S. SYSTEM EQUIPMENT, INCLUDING THE TRANSPORTATION MANAGEMENT CENTER.",0,MILES
CNR291,"ANDERSON, BLOUNT, CAMPBELL, COCKE, GRAINGER, JEFFERSON, KNOX, LOUDON, MONROE, ROANE, AND SEVIER",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNR243,BEDFORD,"THE GRADING, DRAINAGE, CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE AND PAVING ON U.S. 41A (S.R. 16) FROM WEST OF JENKINS ROAD (L.M. 23.75) TO S.R. 276 (L.M. 26.62).",3.5,MILES
CNR294,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDIN, HAYWOOD, HENDERSON, HENRY,
MADISON, MCNAIRY, OBION, AND WEAKLEY",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNR292,"BRADLEY, GRUNDY, HAMILTON, MARION, PUTNAM, SEQUATCHIE, AND WHITE",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNR285,CARROLL,"THE CONSTRUCTION OF BRIDGES ON S.R. 104 OVER GRASSY HOLLOW CREEK (L.M. 7.67) AND OVER BRANCH OF MILL CREEK (L.M. 8.94), INCLUDING GRADING, DRAINAGE AND PAVING.",0.204,MILES
CNR290,"CARTER, SULLIVAN, UNICOI, AND WASHINGTON",THE SWEEPING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNR284,CLAY,THE REPAIR OF THE BRIDGE ON S.R. 53 OVER THE OBEY RIVER (L.M. 8.89).,0,MILES
CNR307,DAVIDSON,THE REPAIR OF NOISE WALLS ON I-65 AND S.R. 155 (BRILEY PARKWAY) AT VARIOUS LOCATIONS.,0,MILES
CNR293,"DAVIDSON, MONTGOMERY, ROBERTSON, SUMNER, WILLIAMSON, AND WILSON",THE SWEEPING AND DRAIN CLEANING ON VARIOUS INTERSTATE AND STATE ROUTES.,0,MILES
CNR297,FAYETTE AND SHELBY,THE INSTALLATION OF SIGNS ON I-269 (REDESIGNATED S.R. 385).,21.545,MILES
CNR295,LOUDON,"THE GRADING, DRAINAGE AND PAVING ON U.S. 321 (S.R. 73) FROM SIMPSON ROAD EAST (L.M. 5.90) TO NORTH OF U.S. 11 (S.R. 2) (L.M. 7.33) IN LENOIR CITY.",1.794,MILES
CNR079,MONROE,THE REPAIR OF BRIDGES ON U.S. 11 (S.R. 2) OVER SWEETWATER CREEK (L.M. 5.04) AND NORFOLK SOUTHERN RAILWAY (L.M. 5.16).,0,MILES
CNR280,RUTHERFORD,"THE GRADING, DRAINAGE, CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE, SIGNALS AND PAVING ON S.R. 96 FROM VETERANS PARKWAY (L.M. 6.08) TO EAST OF OVERALL CREEK (L.M. 6.42).",0.365,MILES
CNR259,SEVIER,"THE GRADING, DRAINAGE, RETAINING WALLS, SIGNALS AND PAVING ON U.S. 441 (S.R. 71) FROM U.S. 411 (S.R. 35/S.R. 338) (L.M. 28.79) TO MACON LANE (L.M. 29.97).",1.18,MILES
CNR008,SHELBY,"THE MISCELLANEOUS SAFETY IMPROVEMENTS ON RALEIGH MILLINGTON ROAD AT THE INTERSECTION OF NEW ALLEN ROAD IN MEMPHIS, INCLUDING GRADING, DRAINAGE AND PAVING.",0.293,MILES
CNR289,SHELBY,THE REPAIR OF BRIDGES ON EASTMORELAND AVENUE OVER I-240 (L.M. 0.36) AND ON U.S. 51 (S.R. 3) OVER THE WOLF RIVER (L.M. 15.25).,0,MILES
CNR251,SULLIVAN,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING BRISTOL METALS IN BRISTOL.",0.152,MILES
CNR701,ANDERSON AND UNION,THE MOWING ON VARIOUS STATE ROUTES.,152.85,MILES
CNR702,"BEDFORD, MARSHALL, MAURY, AND MOORE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,289.2,MILES
CNR703,"BENTON, CARROLL, DECATUR, HENDERSON, AND MADISON","THE MOWING, SWATH MOWING AND LITTER REMOVAL ON I-40.",52.7,MILES
CNR704,"BENTON, CARROLL, HENRY, OBION, AND WEAKLEY",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,704.89,MILES
CNR705,"BLEDSOE, GRUNDY, MARION, SEQUATCHIE, AND VAN BUREN",THE MOWING ON VARIOUS STATE ROUTES.,404.02,MILES
CNR706,BLOUNT AND KNOX,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,316.45,MILES
CNR708,"BRADLEY, MCMINN, AND POLK",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,309.95,MILES
CNR710,"CANNON, VAN BUREN, AND WARREN",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,246.77,MILES
CNR711,"CARTER, JOHNSON, SULLIVAN, UNICOI, AND WASHINGTON",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,433.14,MILES
CNR712,"CHEATHAM, MONTGOMERY, ROBERTSON, AND SUMNER","THE MOWING, SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.",296.11,MILES
CNR713,"CHESTER, HARDEMAN, HARDIN, AND MCNAIRY",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,547.42,MILES
CNR714,"CLAY, CUMBERLAND, FENTRESS, OVERTON, AND PICKETT",THE MOWING ON VARIOUS STATE ROUTES.,421.78,MILES
CNR715,"CLAY, DEKALB, JACKSON, OVERTON, PUTNAM, SMITH, AND WHITE",THE MOWING ON VARIOUS STATE ROUTES.,502.3,MILES
CNR716,"COCKE, GRAINGER, HAMBLEN, JEFFERSON, AND SEVIER",THE MOWING ON VARIOUS STATE ROUTES.,405.58,MILES
CNR717,COFFEE AND FRANKLIN,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,253.81,MILES
CNR719,"CROCKETT, DECATUR, HAYWOOD, HENDERSON, AND MADISON",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,595.38,MILES
CNR720,DAVIDSON,THE MOWING AND LITTER REMOVAL ON I-440.,7.6,MILES
CNR722,DAVIDSON AND WILLIAMSON,THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,198.2,MILES
CNR723,"DICKSON, HICKMAN, AND HUMPHREYS",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,377.66,MILES
CNR724,"DYER, GIBSON, LAKE, AND OBION",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,599.31,MILES
CNR725,"FAYETTE, HAYWOOD, AND MADISON","THE MOWING, SWATH MOWING AND LITTER REMOVAL ON I-40.",52.95,MILES
CNR726,"FAYETTE, LAUDERDALE, SHELBY, AND TIPTON",THE MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.,557.91,MILES
CNR727,GILES AND LAWRENCE,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,150.81,MILES
CNR728,"GILES, MARSHALL, AND MAURY","THE MOWING, SWATH MOWING AND LITTER REMOVAL ON VARIOUS INTERSTATE AND STATE ROUTES.",57.47,MILES
CNR730,HAMILTON,THE MOWING ON VARIOUS INTERSTATE AND STATE ROUTES.,69.48,MILES
CNR733,"LAWRENCE, LEWIS, AND WAYNE",THE MOWING ON VARIOUS STATE ROUTES.,152.09,MILES
CNR734,"LEWIS, PERRY, AND WAYNE",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,170.76,MILES
CNR735,"MACON, SMITH, AND TROUSDALE",THE MOWING ON VARIOUS STATE ROUTES.,249,MILES
CNR736,MAURY,THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,248.43,MILES
CNR737,"RUTHERFORD, SUMNER, AND WILSON",THE MOWING AND LITTER REMOVAL ON VARIOUS STATE ROUTES.,383.53,MILES
CNR738,RUTHERFORD AND WILLIAMSON,THE MOWING ON VARIOUS STATE ROUTES.,126.3,MILES
CNR739,WAYNE,THE MOWING ON VARIOUS STATE ROUTES.,137.43,MILES
CNR740,WILLIAMSON,THE MOWING ON VARIOUS STATE ROUTES.,168.87,MILES
CNR941,"BEDFORD, RUTHERFORD, WILLIAMSON, AND WILSON",THE MOWING ON VARIOUS INTERSTATE ROUTES.,103.65,MILES
CNR937,DAVIDSON,"THE IMPROVEMENT OF THE INTERSECTION ON U.S. 31 (S.R. 6) AT S.R. 255 (HARDING PLACE/BATTERY LANE) (L.M. 3.69) IN OAK HILL, INCLUDING GRADING, DRAINAGE, SIGNALS AND PAVING.",0.33,MILES
CNR940,JOHNSON,"THE CONSTRUCTION OF A CONCRETE BOX BRIDGE ON FORGE ROAD OVER FORGE CREEK (L.M. 1.86), INCLUDING GRADING, DRAINAGE, RETAINING WALL AND PAVING.",0.057,MILES
CNR224,ANDERSON,THE RESURFACING ON S.R. 61 FROM NEAR S.R. 95 (OAK RIDGE TURNPIKE) (L.M. 10.14) TO NEAR SUZANNE DRIVE (L.M. 13.72).,3.58,MILES
CNR225,CAMPBELL,THE RESURFACING ON S.R. 297 FROM S.R. 63 (L.M. 0.00) TO NEAR ELK FORK ROAD (L.M. 5.47).,5.37,MILES
CNR234,CHEATHAM,THE RESURFACING ON S.R. 249 FROM NORTH OF DEERFOOT DRIVE (L.M. 8.00) TO S.R. 251 (L.M. 12.71).,4.71,MILES
CNR232,HAMBLEN,"THE INSTALLATION OF SOLAR POWERED FLASHING BEACONS ON S.R. 32 AT WITT ELEMENTARY SCHOOL IN MORRISTOWN, INCLUDING CONSTRUCTION OF A TURN LANE (L.M. 1.68 - L.M. 2.13).",0.45,MILES
CNR031,HAMILTON,THE REPAIR OF THE BRIDGE ON I-24 OVER CHESTNUT STREET AND THE CSX RAILROAD AND MISCELLANEOUS SAFETY IMPROVEMENTS ON I-24 BRIDGES OVER CSX RAILROAD AND I-124.,0,MILES
CNR218,HAMILTON,THE RESURFACING ON U.S. 11 (S.R. 2) FROM THE MCCALLIE TUNNEL (L.M. 11.83) TO EAST OF MOORE ROAD (L.M. 13.85).,2.02,MILES
CNR016,HARDIN,"THE GRADING, DRAINAGE AND PAVING ON S.R. 128 FROM SOUTH OF ONE STOP DRIVE (L.M. 8.86) TO SOUTH OF OPEL LOOP (L.M. 10.42).",1.65,MILES
CNR231,MARSHALL,THE RESURFACING ON U.S. 31A (S.R. 11) FROM SOUTH OF S.R. 271 (L.M. 17.70) TO NORTH OF ROCKETEER BOULEVARD (L.M. 26.05).,8.35,MILES
CNR237,ROBERTSON,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON S.R. 49 AND YORK ROAD IN COOPERTOWN.",0.507,MILES
CNR239,RUTHERFORD,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING MCCORMICK TRUCKING ON S.R. 266 FROM EAST OF I-840 TO WEST OF MONA ROAD.",0.478,MILES
CNR233,STEWART,THE RESURFACING ON S.R. 149 FROM THE HOUSTON COUNTY LINE (L.M. 0.00) TO THE MONTGOMERY COUNTY LINE (L.M. 3.82).,3.82,MILES
CNR227,TROUSDALE,THE RESURFACING ON U.S. 231 (S.R. 10) FROM THE WILSON COUNTY LINE (L.M. 0.00) TO S.R. 25 (L.M. 6.24).,6.24,MILES
CNR238,WASHINGTON,"THE GRADING, DRAINAGE, CONSTRUCTION OF A CONCRETE BOX BRIDGE, RETAINING WALL AND PAVING ON U.S. 11E (U.S. 321, S.R. 34) AT S.R. 354 (L.M. 11.07) IN JONESBOROUGH.",0.207,MILES
CNR136,WILLIAMSON,"THE GRADING, DRAINAGE, CONSTRUCTION OF RETAINING WALLS AND PAVING ON U.S. 31 (S.R. 6) FROM SOUTH OF S.R. 441 (L.M. 15.93) TO S.R. 253 (L.M. 18.53) IN BRENTWOOD.",2.6,MILES
CNR235,WILLIAMSON,THE RESURFACING ON U.S. 431 (S.R. 106) FROM S.R. 397 (L.M. 12.48) TO S.R. 96 (L.M. 14.86).,2.38,MILES
CNR928,BRADLEY,"THE RESURFACING (MICROSURFACE OR THIN MIX OVERLAY) ON S.R. 312 FROM WHITE OAK ROAD (L.M. 4.77) TO U.S. 11 (U.S. 64, S.R. 2) (L.M. 8.51).",3.74,MILES
CNR920,COCKE,"THE RESURFACING ON U.S. 25 (U.S. 70, S.R. 9) FROM S.R. 107 TO THE NORTH CAROLINA STATE LINE AND ON S.R. 160 FROM NEAR SOUTH BUCKNER ROAD TO THE NOLICHUCKY RIVER.",14.25,MILES
CNR929,CUMBERLAND AND RHEA,THE RESURFACING (MICROSURFACE OR THIN MIX OVERLAY) ON U.S. 70 (S.R. 1) IN CUMBERLAND COUNTY AND ON U.S. 27 (S.R. 29) IN RHEA COUNTY.,20.22,MILES
CNR930,DEKALB,THE RESURFACING (MICROSURFACE OR THIN MIX OVERLAY) ON S.R. 26 FROM EAST OF S.R. 96 TO THE DOWELLTOWN CITY LIMITS AND ON S.R. 96 FROM THE WILSON COUNTY LINE TO CENTER HILL DAM.,17.44,MILES
CNR921,FENTRESS AND PICKETT,THE RESURFACING ON U.S. 127 (S.R. 28) FROM NORTH OF OLD S.R. 28 (L.M. 23.10) TO SOUTH OF DRY BRANCH BRIDGE (L.M. 27.90).,8.69,MILES
CNR931,FRANKLIN,THE RESURFACING (MICROSURFACE OR THIN MIX OVERLAY) ON U.S. 64 (S.R. 15) FROM THE LINCOLN COUNTY LINE (L.M. 0.00) TO NEAR BRANNAN HILL ROAD (L.M. 8.65).,8.65,MILES
