item_no,description,unit,count
725-10.85,CONDUIT & PULL BOX NETWORK,LS,11
790-33.27,"SCREW TYPE ANCHOR 32,000LB",EACH,11
607-65.64,18 MINIMUM ID PIPE TO SLIP LINE 24 PIPE,L.F.,11
790-13.08,POLE 90FT CLASS H5 METAL,EACH,11
611-40.03,"CATCH BASINS, TYPE 40, > 8 - 12 DEPTH",EACH,11
607-65.65,24 MINIMUM ID PIPE TO SLIP LINE 30 PIPE,L.F.,11
201-01.05,REMOVAL AND DISPOSAL OF BRUSH AND TREES,S.F.,11
730-15.13,MODIFY CABINET (DESCRIPTION),EACH,11
204-12.00,CORE DRILLING (CONCRETE SEAL),L.F.,11
795-05.62,BORE/JACK 10IN STEEL CASING PIPE-UNCON.,L.F.,11
621-05.13,TEMPORARY SHORING (DESCRIPTION),LS,11
713-02.33,FLEXIBLE DELINEATOR (RED),EACH,11
607-50.60,THREE SIDED PRECAST CULVERT STRUCTURE - BARREL(SIZE),L.F.,11
716-03.12,PLASTIC PVMT MARKING (DESCRIPTION),EACH,11
790-14.07,POLE 95FT CLASS H4 METAL,EACH,11
790-05.09,POLE 50FT CLASS H3 METAL,EACH,11
797-10.21,CONNECT TO 16IN FORCE MAIN,EACH,11
802-01.15,TREES (DESCRIPTION),EACH,11
760-13.14,INSTALL ELECTRIC UTILITY ASSY (C1-2CL),EACH,10
760-13.02,INSTALL OVERHEAD CONDUCTOR - 4/0 AAC,L.F.,10
790-40.36,OH COND 1/0 7 AAC POPPY,L.F.,10
760-13.11,INSTALL WOOD POLE CLASS 3 45 FT LENGTH,EACH,10
793-07.10,288 FIBER(MATERIAL ONLY),L.F.,10
760-13.10,INSTALL WOOD POLE CLASS 2 50 FT LENGTH,EACH,10
203-40.02,ROCK ANCHORS (DESCRIPTION),L.F.,10
709-99.99,ROUND RIVER STONE RIP-RAP (SIZE),C.Y.,10
202-06.21,REMOVAL OF BUILDINGS (TRACT NO.),LS,10
760-13.05,INSTALL OVERHEAD CONDUCTOR - #2ACSR,L.F.,10
714-12.05,CONTROL CENTER (NO. 5),LS,10
795-07.09,10IN X 8IN TAPPING SLEEVE AND VALVE,EACH,10
795-07.12,12IN X 6IN TAPPING SLEEVE AND VALVE,EACH,10
802-15.04,JUNCUS EFFUSUS (SOFT RUSH),EACH,10
790-42.04,2IN DIA GALVINIZED METAL PIPE,L.F.,10
790-14.06,POLE 95FT CLASS H3 METAL,EACH,10
790-14.05,POLE 95FT CLASS H2 METAL,EACH,10
791-09.21,CATHODIC PROTECTION JUNCTION BOX,EACH,10
209-03.30,STREAM MITIGATION (RIVER ROCK),TON,10
707-10.07,ROCKFALL DRAPE (TYPE III),S.Y.,10
795-11.40,RESTORE ASPHALT,S.Y.,10
760-13.01,INSTALL OVERHEAD CONDUCTOR - 336 AAC,L.F.,10
705-11.42,GR TERMINAL (ENERGY ABSORBING) MASH TL-2 (POWDER COATED),EACH,10
793-02.93,OVERHEAD GUY WIRE (DESCRIPTION),L.F.,10
802-12.13,CRATAEGUS PHAENOPYRUM (WSHNGTN HAWTHORN SEEDLNG B.R.),EACH,10
713-17.31,MODIFY EXISTING OVERHEAD SIGN STRUCTURE,LS,10
610-10.46,DECK DRAINS (DESCRIPTION),EACH,10
502-03.20,FULL DEPTH PCC PAVEMENT REPAIR,C.Y.,10
760-13.65,REMOVE WOOD POLES,LS,10
760-13.66,REMOVE OH ELECTRIC UTILITY PRI ASSY,LS,10
501-01.06,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 13,S.Y.,10
730-02.34,SIGNAL HEAD ASSEMBLY (DESCRIPTION),EACH,10
802-02.47,CUTTINGS: ALNUS SERRULATA (24-48IN),EACH,10
797-10.07,CONNECT 8IN LATERAL TO SEWER LINE,EACH,10
730-03.51,FIBER OPTIC CABLE (12F),L.F.,10
702-10.02,WHEEL STOP,EACH,10
714-09.14,LUMINAIRES (DESCRIPTION),EACH,10
202-08.25,REMOVAL OF MEDIAN BARRIER (DESCRIPTION),LS,10
760-13.67,REMOVE OH ELECTRIC UTILITY GUY/ANCHOR ASSY,LS,10
760-13.68,REMOVE OH ELECTRIC UTILITY MISC ASSY,LS,10
793-14.11,1IN INNERDUCT,L.F.,10
795-13.08,CREEK CROSSING (DESCRIPTION),LS,10
760-13.51,INSTALL ELECTRIC UTILITY ASSY (K7),EACH,10
209-03.56,STREAM MITIGATION (DESCRIPTION),EACH,10
760-13.69,REMOVE OH ELECTRIC UTILITY SEC ASSY,LS,10
760-13.72,REMOVE ELECTRIC UTILITY ASSY (G11-15),EACH,10
760-13.43,INSTALL ELECTRIC UTILITY ASSY (E3-10P),EACH,10
760-13.46,INSTALL ELECTRIC UTILITY ASSY (FP-2),EACH,10
790-41.30,UG PRI COND 500MCM CU 15KV,L.F.,10
606-22.15,TEST PILES (STEEL PIPE PILES 24 IN),L.F.,10
501-01.02,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 9,S.Y.,10
209-03.62,STREAM MITIGATION - ROOT WAD,EACH,10
209-06.03,16 DIA COIR LOG (DESCRIPTION),L.F.,10
611-01.10,"MANHOLES,(__m - __m DEPTH)",EACH,10
760-13.22,INSTALL ELECTRIC UTILITY ASSY (C7-1C),EACH,10
760-13.24,INSTALL ELECTRIC UTILITY ASSY (C8-3CL),EACH,10
760-13.37,INSTALL ELECTRIC UTILITY ASSY (M2-11R),EACH,10
760-13.38,INSTALL ELECTRIC UTILITY ASSY (M2-12B),EACH,10
760-13.41,INSTALL ELECTRIC UTILITY ASSY (E1-2T),EACH,10
760-13.64,REMOVE OVERHEAD SEC. CONDUCTORS,LS,10
798-11.31,POWER INSTALLED ANCHOR,EACH,10
798-11.41,DOWNGUY - WRAP TYPE,EACH,10
793-11.32,ENTER EXISTING HANDHOLE,EACH,10
793-11.36,3 PAIR BURIED DROP,L.F.,10
711-02.00,CONCRETE MEDIAN B.R (BR PIER PROTECTION),L.F.,10
730-02.36,SGNL AHD SGN W/FLSHNG LGHTS (GRND MNTD),EACH,10
710-09.07,6 PERFORATED PLASTIC PIPE (FRENCH DRAIN),L.F.,10
760-13.55,INSTALL ELECTRIC UTILITY ASSY (M5-5S),EACH,10
760-13.58,INSTALL ELECTRIC UTILITY ASSY (M5-10C),EACH,10
760-13.62,REMOVE OVERHEAD PRI. CONDUCTORS,LS,10
793-15.06,CARRIER SITE PREPARATION,EACH,10
797-07.16,60IN MANHOLE 10FT-12FT DEPTH,EACH,10
204-06.03,FLOWABLE FILL (EARLY STRENGTH),C.Y.,10
795-05.78,BORE/JACK 14IN STEEL CASING PIPE-ROCK.,L.F.,10
202-01.08,REMOVAL OF ASBESTOS (DESCRIPTION),LS,10
790-43.13,DEADBREAK ELBOW 600A 15KV,EACH,10
602-10.34,MISCELLANEOUS STRUCTURAL STEEL REPAIRS,LB.,10
411-04.10,ACS MIX(PG82-22) GRADING D,TON,10
797-05.70,18IN PVC GRAVITY SEWER >18FT DEPTH,L.F.,10
602-10.54,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH,10
716-09.57,CONTRAST PVMT SHADOW MARKING 6 (TAPE),L.F.,10
760-13.48,INSTALL ELECTRIC UTILITY ASSY (G11-15),EACH,10
802-13.51,ALNUS SERRULATA (HAZEL ALDER SDLNG BARE ROOT),EACH,10
705-20.71,SELF RESTORING CRASH CUSHN NARROW (MASH TL-3),EACH,10
802-13.67,RHODODENDRON CALENDULACEUM (FLAMING AZALEA SDLING B.R.),EACH,10
790-06.09,POLE 55FT CLASS H3 METAL,EACH,10
790-70.06,"STREET LIGHT BASE, POWER INSTALLED",EACH,10
611-41.05,"CATCH BASINS, TYPE 41, > 16 - 20 DEPTH",EACH,10
790-70.13,STREET LIGHT - HPS  (DESCRIPTION),EACH,10
802-13.28,AMORPHA FRUTICOSA (INDIGOBUSH 2-5 FT CNTNR GRWN),EACH,10
706-10.24,FLARED END ELEMENT,EACH,10
802-12.65,MALUS ANGUSTIFOLIA (SOUTHERN CRABAPPLE SEEDLING B.R.),EACH,10
790-65.18,CAPACITOR RADIO SWITCH,EACH,10
716-04.24,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 2 ARROWS),EACH,10
411-51.10,INFRARED POTHOLE REPAIR (ASPHALT),S.F.,10
714-01.31,STRUCTURAL LIGHTING (DESC),LS,10
790-03.30,POLE 40FT CLASS 1 WOOD,EACH,10
790-03.31,POLE 40FT CLASS 3 METAL,EACH,10
795-03.03,3IN PVC WATER LINE,L.F.,10
795-03.11,18IN PVC WATER LINE,L.F.,10
202-04.61,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,10
202-04.62,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,10
607-09.04,1200mm CONCRETE PIPE CULVERT (CLASS V),m,10
604-12.04,STONE VENEER FINISH,S.F.,10
790-52.11,50KVA 1PH OH XFORMER 7.2KV 120/240,EACH,10
705-20.40,QUAD GUARD ELITE RETROFIT TO QG ELITE M10,EACH,10
411-51.01,POTHOLE TEMPORARY REPAIR (ASPHALT),TON,10
607-65.71,60 MINIMUM ID PIPE TO SLIP LINE 72 PIPE,L.F.,10
730-24.09,FOUNDATION (DESCRIPTION),EACH,10
604-07.15,RETAINING WALL (DESCRIPTION),S.F.,10
604-07.16,RETAINING WALL (DESCRIPTION),S.F.,10
604-07.17,RETAINING WALL (DESCRIPTION),S.F.,10
798-02.03,4IN DIAMETER CONDUIT (PVC),L.F.,10
714-06.02,CABLE (1/C # 12 AWG),L.F.,10
411-51.02,POTHOLE PERMANENT REPAIR (ASPHALT),TON,10
730-21.03,"WOOD POLE (SIGNAL SUPPORT) CLASS 3, 45 LENGTH",EACH,10
797-09.41,CUT AND CAP 2IN FORCE MAIN,EACH,10
797-11.45,PIPE CHECK DAM,C.Y.,10
202-04.60,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,10
791-05.55,12IN STEEL CASING OPEN CUT,L.F.,10
202-04.59,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,10
725-21.48,DEMARCATION POINT RISER ASSEMBLY,EACH,10
725-21.49,MODIFY ELECTRICAL DEMARCATION POINT,EACH,10
802-11.66,PRUNUS ANGUSTIFOLIA (CHICKASAW PLUM 2-5FT CNTNR GRWN),EACH,10
730-41.25,REWORK OF CONTROLLER,EACH,10
797-05.29,__IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.,10
202-04.57,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,10
202-04.56,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,10
202-04.55,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,10
607-39.10,66 PIPE CULVERT (SIDE DRAIN),L.F.,10
725-20.59,CABLE (1/C #2/0 AWG),L.F.,10
611-60.31,"CATCH BASIN, 84IN ROUND,> 8FT-12FT DEPTH",EACH,10
712-01.08,LANE CLOSURE (INTERSTATE AND CONTROLLED ACCESS),EACH,10
802-13.76,CELTIS LAEVIGATA (SUGARBERRY SEEDLING B.R.),EACH,10
610-12.01,HORIZONTAL DRAINS AND CASING,L.F.,10
790-41.40,UG PRI COND 500MCM CU 25KV,L.F.,10
202-04.58,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,10
208-02.01,"DITCH (RIPRAP, SAND & PLASTIC SHEETING)",L.F.,10
790-10.01,POLE 75FT CLASS 1 WOOD,EACH,10
802-11.35,QUERCUS NIGRA (WATER OAK 2-5FT CNTNR GRWN),EACH,10
790-08.13,POLE 65FT CLASS 2 METAL,EACH,10
790-52.02,5KVA 1PH OH XFORMER 7.2KV 120/240,EACH,10
797-05.64,15IN PVC GRAVITY SEWER 6FT-12FT DEPTH,L.F.,10
790-49.01,3PH XFMR BNK POLE MTD NO FUSE/ARRESTERS,EACH,10
790-43.48,SEC PULLBOX SMALL (REPLACE ONLY),EACH,10
717-01.20,MOBILIZATION (INTERSTATE AND CONTROLLED ACCESS),EACH,10
611-02.16,JUNCTION BOX (DESCRIPTION),EACH,10
730-22.02,GUYING DEVICE (ANGLE ANCHOR),EACH,10
730-25.03,CANTILEVER SIGNAL SUPPORT (2 @ 50 & 55),EACH,10
604-04.62,CLEAN & TEXTURE FINISH CONCRETE MEDIAN BARRIER,L.F.,10
790-42.14,CONDUIT - POLE MTD - 4IN SCH 80 PVC,L.F.,10
797-13.03,FIRE HYDRANT ASSEMBLY,EACH,10
714-25.09,ELECTRICAL CONNECTION (DESCRIPTION),EACH,10
714-26.05,TEMPORARY ROADWAY LIGHTING,LS,10
202-06.26,REMOVAL OF BUILDINGS (TRACT NO.),LS,10
202-06.28,REMOVAL OF BUILDINGS (TRACT NO.),LS,10
202-06.29,REMOVAL OF BUILDINGS (TRACT NO.),LS,10
202-06.30,REMOVAL OF BUILDINGS (TRACT NO.),LS,10
203-01.01,ROAD & DRAINAGE EXCAVATION (SLIDE AREA),C.Y.,10
611-04.40,ADJUSTMENT OF EXISTING BRIDGE DRAIN,EACH,10
920-13.04,(DESCRIPTION),EACH,9
604-10.59,CLOSURE POUR MATERIAL (ACCELERATED STRENGTH),C.F.,9
501-01.15,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 12 FAST TRACK,S.Y.,9
611-51.01,"CATCH BASINS, TYPE 51, 0 - 4 DEPTH",EACH,9
760-15.25,TRANSFORMER VG15KVA (ALL 15 KVAS)*,EACH,9
760-15.28,TRANSFORMER VG50KVA (ALL 50 KVAS)*,EACH,9
790-40.18,OH COND 556.5 18/1 ACSR OSPREY,L.F.,9
790-30.17,SECONDARY CONDUCTOR 4/0 AL TRIPLEX,L.F.,9
790-26.47,3PH SPECIAL CONST CROSSARM DDE 25KV,EACH,9
790-27.01,DBL CKT CROSSARM 15KV,EACH,9
790-27.06,DBL CKT DBL XARM SM ANG 15KV,EACH,9
797-10.13,CONNECT TO <2IN FORCE MAIN,EACH,9
795-06.38,CUT AND CAP 14IN WATER LINE,EACH,9
797-10.26,CONNECT PUMP STATION TO FORCE MAIN,EACH,9
604-12.01,CONCRETE IMPRINTING,S.F.,9
713-09.11,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,9
611-13.01,"CATCH BASINS, TYPE 13, 0 - 4 DEPTH",EACH,9
790-25.46,3PH FIBERGLASS WITH NEUTRAL ON ARM,EACH,9
797-13.05,CREEK CROSSING (#__),LS,9
797-30.23,OPEN CUT 8IN PVC CASING PIPE,L.F.,9
793-12.21,DIG SPLICE PIT (DESCRIPTION),EACH,9
725-20.01,CCTV POLE & FOUNDATION (50FT POLE W/LWRNG DVICE),EACH,9
725-05.88,CELLULAR MODEM,EACH,9
203-10.01,EMBANKMENT (SOLID ROCK),C.Y.,9
790-42.39,CONDUIT (DESCRIPTION),L.F.,9
797-09.22,4IN COMBO AIR RELEASE VALVE ASSEMBLY,EACH,9
713-02.25,MEDIAN BARRIER DELINEATOR (DOUBLE),EACH,9
730-02.16,SIGNAL HEAD ASSEMBLY (150 A2H),EACH,9
604-11.04,EXPANSION DEVICE (DESCRIPTION),L.F.,9
604-10.23,CONCRETE PARAPET REPAIR,LS,9
607-50.04,PRECAST CONCRETE BOX CULVERT (10 X 4),L.F.,9
790-21.18,1PH DDE FEED THROUGH 15KV,EACH,9
602-10.62,BEARING DEVICE (DESCRIPTION),EACH,9
611-38.06,"CATCH BASINS, TYPE 38, > 20 - 24 DEPTH",EACH,9
604-20.10,MODIFY BRIDGE RAIL,L.F.,9
790-43.45,FIBERGLASS VAULT-TRANS PAD-SMALL,EACH,9
793-11.11,12IN PEDESTAL W/TERMINAL,EACH,9
611-06.13,BRIDGE END DRAIN (SIZE),EACH,9
793-12.09,900 PAIR UG CABLE,L.F.,9
790-20.09,"POLE (SPECIFY POLE LENGTH, CLASS, AND MATERIAL)",EACH,9
790-20.12,"POLE (SPECIFY POLE LENGTH, CLASS, AND MATERIAL)",EACH,9
790-20.14,"POLE (SPECIFY POLE LENGTH, CLASS, AND MATERIAL)",EACH,9
790-20.53,6 FT. DIA DRILLED PIER FOUNDATION,V.F.,9
802-01.07,TREES(LIQUIDAMBER STYRACIFLUA) (1.5 - 2 CAL. B&B),EACH,9
802-01.08,TREES(PLATANUS OCCIDENTALIS) (1.5 - 2CAL. B&B),EACH,9
790-10.06,POLE 75FT CLASS H3 METAL,EACH,9
798-05.06,3/8IN EHS STEEL STRAND,L.F.,9
798-05.09,TRUNK/FEEDER CABLE .625,L.F.,9
798-05.16,TRUNK/FEEDER CABLE .875,L.F.,9
790-52.01,1.5KVA 1PH OH XFORMER 7.2KV 120/240,EACH,9
730-17.01,INSTALL MODEM,EACH,9
712-02.04,INTERCONNECTED PORTABLE BARRIER RAIL (DESCRIPTION),L.F.,9
795-15.26,32IN STEEL CASING PIPE OPEN CUT METHOD,L.F.,9
713-16.03,CHANGEABLE MESSAGE SIGN,EACH,9
611-01.08,"MANHOLES, > 28 - 32 DEPTH",EACH,9
611-01.22,CAPPING EXISTING MANHOLE,EACH,9
793-14.18,LOWER CONDUIT PER 12ININCREMENTS,L.F.,9
611-41.08,"CATCH BASINS, TYPE 41, >(   -    DEPTH)",EACH,9
790-06.19,POLE 55FT CLASS H1 WOOD,EACH,9
790-03.04,POLE 40FT CLASS 5 WOOD,EACH,9
795-05.04,HDD 8IN HDPE CASING PIPE-UNCON,L.F.,9
797-06.81,BORE/JACK 30IN STEEL CASING PIPE-ROCK.,L.F.,9
797-06.84,BORE/JACK __IN STEEL CASING PIPE-ROCK,L.F.,9
716-05.52,PAINTED PAVEMENT MARKING(AREA),S.F.,9
790-58.02,"HOOK STICK SWITCH VERTICAL, SINGLE 15KV",EACH,9
705-20.51,REPOSITIONING IMPACT ATTENUATOR (QUARDGUARD ELITE M10 WIDE),EACH,9
798-06.35,288-432 FIBER OPTIC CABLE (INSTALL ONLY),L.F.,9
716-08.31,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),L.M.,9
797-06.72,BORE/JACK 6IN STEEL CASING PIPE-ROCK.,L.F.,9
793-07.12,432 FIBER(MATERIAL ONLY),L.F.,9
725-03.99,VIDEO DETECTION CABLE,L.F.,9
790-63.17,3PH TYPE SDR ELECTRONIC RECLOSER 25KV,EACH,9
790-64.14,PRI MTG 3PH CLUSTER MOUNT,EACH,9
725-21.87,ENVIRONMENTAL SENSOR COMM CABLE,L.F.,9
606-17.03,STEEL PIPE PILES (12-INCH),L.F.,9
730-24.96,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,9
619-01.35,BRIDGE DECK OVERLAY (PMC),C.Y.,9
713-99.91,SIGNS,LS,9
790-71.70,INTERMEDIATE ANGLE SINGLE POLE 161KV ASSEMBLY,EACH,9
795-01.18,20IN DIP SLIP JOINT WATER LINE,L.F.,9
611-43.04,"CATCH BASINS, TYPE 43, > 12 - 16 DEPTH",EACH,9
802-11.27,POPULUS DELTOIDES (COTTONWOOD 2-5FT CNTNR GRWN),EACH,9
209-10.02,8IN SKIMMER W/6IN HEAD,EACH,9
202-02.31,REMOVAL OF PIPE (DESCRIPTION),L.F.,9
790-74.08,96 FIBER(MATERIAL ONLY),L.F.,9
717-01.21,MOBILIZATION (STATE ROUTES),EACH,9
797-05.14,16IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.,9
604-03.75,CLASS X CONCRETE,C.Y.,9
730-26.12,PEDESTRIAN PUSHBUTTON HORIZONTAL EXTENSION,EACH,9
730-24.98,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,9
730-25.10,CANTILEVER SIGNAL SUPPORT (2 @ 55 & 65),EACH,9
791-04.09,HDD __IN PE PIPE - UNCONSOLIDATED,L.F.,9
791-04.29,HDD 2IN STEEL PIPE - ROCK,L.F.,9
615-01.04,PRESTRESSED CONCRETE I-BEAM (TYPE IV),L.F.,9
791-05.02,BORE/JACK 6IN - STEEL CASING PIPE - UNCON.,L.F.,9
791-05.05,BORE/JACK 16IN - STEEL CASING PIPE - UNCON.,L.F.,9
791-05.11,BORE/JACK 12IN - STEEL CASING PIPE - UNCON.,L.F.,9
791-05.31,4IN STEEL CASING PIPE OPEN CUT,L.F.,9
209-99.91,EROSION CONTROL,LS,9
802-12.09,CARYA OVATA (SHAGBARK HICKORY SEEDLNG B.R.),EACH,9
719-01.11,SWEEPING,L.M.,9
307-04.01,ASPHALT CONCRETE MIX (PG82-22) (BPMB-HM) GRADING A,TON,9
797-02.08,8IN HDPE FORCE MAIN,L.F.,9
725-20.72,ELECTRICAL CONNECTION (DESCRIPTION),LS,9
712-01.09,LANE CLOSURE (STATE ROUTES),EACH,9
203-02.05,BORROW EXCAVATION (DESCRIPTION),C.Y.,9
203-03.15,BORROW EXCAVATION (CLAY),C.Y.,9
203-03.51,BORROW EXCAVATION (UNCLASSIFIED),C.Y.,9
791-07.40,PE GAS FITTINGS,LB.,9
797-01.01,4IN DIP FORCE MAIN,L.F.,9
797-01.15,10IN EPOXY COATED DIP FORCE MAIN,L.F.,9
797-01.20,24IN EPOXY COATED DIP FORCE MAIN,L.F.,9
791-08.20,HDD 2IN PE SERVICE PIPE,L.F.,9
791-08.33,1IN HDPE SERVICE PIPE,L.F.,9
730-50.31,SCHOOL SPEED LIMIT FLASHING ASSEMBLY (HARD-WIRED),EACH,9
795-09.63,1 1/4 IN PEXa SERVICE PIPE,L.F.,9
795-09.80,4IN CASING PIPE,L.F.,9
725-21.03,DYNAMIC MESSAGE SIGN (DESCRIPTION),EACH,9
707-16.01,BIKE/PEDESTRIAN BOX TUBE SAFETY RAIL,L.F.,9
793-01.14,POLE 45FT CLASS 1 WOOD,EACH,9
793-01.19,POLE 50FT CLASS 1 WOOD,EACH,9
705-02.05,RUB-RAIL (ONLY),L.F.,9
797-11.33,RETIREIN PLACE EXISTING SEWER >24IN,L.F.,9
802-02.03,SEEDLINGS (DESCRIPTION),EACH,9
705-11.13,GUARDRAIL TERMINAL (TYPE 21)(POWDER COATED),EACH,9
920-10.00,COLUMN SHELL(DESCRIPTION),L.F.,9
920-11.04,(DESCRIPTION),EACH,9
920-12.04,(DESCRIPTION),EACH,9
106-04.01,SMPLNG & TSTNG OF POTENTIALLY ACIDIC MAT.,EACH,9
790-33.30,"SCREW TYPE ANCHOR 16,000LB (F1-2D-P)",EACH,8
999-99.13,P-620-5.6 RED PAINT WITH REFLECTIVE MEDIA,S.F.,8
999-99.06,P-605-5.1 JOINT SEALING FILLER,L.F.,8
109-04.20,FORCE ACCOUNT,DOLL,8
920-08.22,TEMPORARY SHORING,S.F.,8
203-40.12,TIE-BACK ANCHORS (3-STRAND UNCLASSIFIED),L.F.,8
760-15.22,FUSE CUTOUT (VM5-9),EACH,8
760-15.24,TRANSFORMER VG25KVA(ALL 25 KVAS)*,EACH,8
791-09.22,FAULT CURRENT MITIGATION SYSTEM,EACH,8
707-10.01,ROCKFALL FENCE (TYPE I),L.F.,8
730-50.25,PEDESTRIAN HYBRID BEACON ASSEMBLY,EACH,8
790-40.77,OH COND 1033.5 37/1 BLUEBELL,L.F.,8
790-41.10,UG PRI COND 750MCM AL 15KV,L.F.,8
790-41.11,UG PRI COND 1000MCM AL 15KV,L.F.,8
790-28.02,DBL CKT LRG COND CONST 25KV,EACH,8
790-30.15,SECONDARY CONDUCTOR 2/0 AL TRIPLEX,L.F.,8
705-01.13,ROCK DRILLING FOR GUARDRAIL POST,EACH,8
712-09.33,MODIFY EXISTING OVERHEAD SIGNS,EACH,8
712-09.07,REMOVABLE PAVEMENT MARKING (STOP AHEAD),EACH,8
795-06.40,CUT AND CAP 3IN WATER LINE,EACH,8
797-10.15,CONNECT TO 3IN FORCE MAIN,EACH,8
714-25.08,ELECTRICAL CONNECTION (DESCRIPTION),LS,8
797-01.16,12IN EPOXY COATED DIP FORCE MAIN,L.F.,8
797-01.18,16IN EPOXY COATED DIP FORCE MAIN,L.F.,8
604-02.44,ENERGY DISSIPATER (DESCRIPTION),EACH,8
708-02.04,(DESCRIPTION) MOVE AND RESET,EACH,8
303-01.08,"MINERAL AGGREGATE, TYPE A BASE,GRADING D GRAVEL",TON,8
790-26.34,3PH CROSSARM TPL DDE 25KV,EACH,8
730-08.12,SIGNAL CABLE - (DESCRIPTION),L.F.,8
795-07.08,10IN X 6IN TAPPING SLEEVE AND VALVE,EACH,8
611-12.07,"CATCH BASINS, TYPE 12, > 24 - 28 DEPTH",EACH,8
602-04.04,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS,8
602-10.14,NAVIGATION LIGHTS,LS,8
790-41.65,UG PRI COND 1/0 AL TPX 15KV,L.F.,8
202-01.53,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,EACH,8
705-17.48,CONCRETE PAD (WIDETRACC),EACH,8
714-40.00,LOCATING UTILITIES,LS,8
793-13.10,3IN SCHEDULE 40 PVC,L.F.,8
793-13.28,4 DUCT FORMATION @ 48IN DEPTH,L.F.,8
793-13.33,6 DUCT FORMATION @ 48IN DEPTH,L.F.,8
209-03.43,STREAM MITIGATION - VEGETATED RIP-RAP (DESCRIP),C.Y.,8
209-03.54,STREAM MITIGATION - CROSS VANE STRUCTURE W/STEP,EACH,8
790-42.28,__ DUCT BANK @ __IN-__IN DEPTH,L.F.,8
797-03.05,3IN PVC FORCE MAIN,L.F.,8
791-07.25,1IN PE GAS VALVE ASSEMBLY,EACH,8
797-09.13,20IN PLUG VALVE ASSEMBLY,EACH,8
730-09.25,SPAN WIRE ASSEMBLY (LOCATION DESCRIPTION),L.F.,8
611-25.06,"CATCH BASINS, TYPE 25, > 20 - 24 DEPTH",EACH,8
790-25.03,3PH NARROW PROFILE SGL LG COND 15KV,EACH,8
790-42.41,BRIDGE HANGER SYSTEM AND PIPE,LS,8
625-02.15,DRILLED SHAFT-ROCK (DIA.),V.F.,8
714-02.03,"ENCASED CONDUIT (3 PVC, SCHEDULE 40)",L.F.,8
725-24.62,TRAINING,HOUR,8
795-07.62,__IN X __IN TAPPING SLEEVE AND VALVE,EACH,8
795-08.15,18IN BUTTERFLY VALVE ASSEMBLY,EACH,8
795-05.92,4IN PVC CASING PIPE OPEN CUT,L.F.,8
791-06.06,CONNECT TO 12IN EX. PE MAIN,EACH,8
307-04.08,ASPHALT CONCRETE MIX (PG82-22) (BPMB-HM) GRADING B-M2,TON,8
308-01.12,ASPHALT CEMENT (PG64-22) COLD IN PLACE RECYCLED,TON,8
791-06.26,CONNECT TO 8IN EX. PE MAIN,EACH,8
707-03.08,TEMPORARY STOCK FENCE,L.F.,8
793-98.10,REMOVE FIBER STORAGE BRACKET,EACH,8
802-11.41,SASSAFRAS ALBIDUM (SASSAFRAS 2-5FT CNTNR GRWN),EACH,8
607-50.11,PRECAST CONCRETE BOX CULVERT (8 X 6),L.F.,8
602-10.28,PEDESTRIAN SIDEWALK REPAIRS,LS,8
602-10.70,STRUCTURAL STEEL CRACK REPAIR,EACH,8
797-07.13,60IN MANHOLE 4FT-6FT DEPTH,EACH,8
730-15.40,CABINET (EIGHT PH FIBER BASE MOUNTED),EACH,8
604-10.01,CONCRETE REPAIRS,LS,8
712-08.11,QUEUE PROTECTION TRUCK,HOUR,8
802-06.03,MULCH (3IN SHREDDED PINE BARK MULCH),C.Y.,8
604-15.20,COMPACTION GROUT,C.F.,8
795-07.29,24IN X 24IN TAPPING SLEEVE AND VALVE,EACH,8
607-65.78,54IN MIN I.D. to SLIP LINE 60IN CMP,L.F.,8
802-11.67,EUONYMUS AMERICANUS (STRAWBERRY BUSH 2-5FT CONTAINER GR0WN),EACH,8
730-50.11,WARNING SIGN FLASHING ASSEMBLY (HARD-WIRED),EACH,8
721-01.03,IRRIGATION SYSTEM,LS,8
719-01.01,SWEEPING,CYCL,8
713-16.39,SIGNS (DESCRIPTION),EACH,8
798-12.01,RISER POLE ASSEMBLY,EACH,8
