item_no,description,unit
725-16.01,"WEIGH IN MOTION (WIM), LOOP DETECTOR",EACH
725-16.02,"WEIGH IN MOTION (WIM) SYSTEM, 2 LANE",EACH
725-16.03,"WEIGH IN MOTION (WIM) SYSTEM, 3 LANE",EACH
725-16.04,"WEIGH IN MOTION (WIM) SYSTEM, 4 LANE",EACH
725-16.20,Wrong Way Driving Detection System,EACH
725-20.01,CCTV POLE & FOUNDATION (50FT POLE W/LWRNG DVICE),EACH
725-20.02,CCTV POLE & FOUNDATION (80FT POLE W/LWRNG DVICE),EACH
725-20.03,LOWERING TOOL FOR CAMERA LOWERING DEVICE,EACH
725-20.04,CCTV POLE REMOVE AND RELOCATE,EACH
725-20.05,CCTV POLE REMOVAL,EACH
725-20.06,CCTV MAINTENANCE WORKPAD,EACH
725-20.07,CCTV POLE & FOUNDATION (80FT POLE W/DUAL LWRNG DVICE),EACH
725-20.08,PORTABLE CCTV CAMERA TRAILER,DAY
725-20.09,MAINTENANCE WORK PAD (CONCRETE PAD),EACH
725-20.10,MAINTENANCE WORK PAD (WOOD PLATFORM),EACH
725-20.22,STEEL OVERHEAD SIGN STRUCTURE (SPANS 51FT TO 70FT),EACH
725-20.23,STEEL OVERHEAD SIGN STRUCTURE (SPANS 71FT TO 90FT),EACH
725-20.24,STEEL OVERHEAD SIGN STRUCTURE (SPANS 91FT TO 110FT),EACH
725-20.28,STEEL OVERHEAD SIGN STRUCTURE (SPANS 151FT TO 180FT),EACH
725-20.31,STEEL SIGN STRUCTURE (MULTI-COLOR DMS),EACH
725-20.43,PULL BOX (TYPE C),EACH
725-20.44,PULL BOX (TYPE D),EACH
725-20.45,PULL BOX (TYPE E),EACH
725-20.46,PULL BOX (STRUCTURE MOUNTED),EACH
725-20.53,CABLE (1/C #10 AWG.),L.F.
725-20.54,CABLE (1/C #8 AWG.),L.F.
725-20.55,CABLE (1/C #6 AWG.),L.F.
725-20.56,CABLE (1/C #4 AWG.),L.F.
725-20.57,CABLE (1/C #2 AWG.),L.F.
725-20.58,CABLE (1/C #1/0 AWG.),L.F.
725-20.59,CABLE (1/C #2/0 AWG),L.F.
725-20.60,CABLE (1/C #3/0 AWG.),L.F.
725-20.61,CABLE (1/C #4/0 AWG.),L.F.
725-20.71,ELECTRICAL CONNECTION,LS
725-20.72,ELECTRICAL CONNECTION (DESCRIPTION),LS
725-20.73,ELECTRICAL CONNECTION (DESCRIPTION),LS
725-20.75,COMMUNICATION CONNECTION (DESCRIPTION),LS
725-20.76,COMMUNICATION CONNECTION (DESCRIPTION),LS
725-20.81,RADIO & ANTENNA (TYPE A),EACH
725-20.82,RADIO & ANTENNA (TYPE B),EACH
725-20.84,RADIO & ANTENNA (DESCRIPTION),EACH
725-20.85,RADIO & ANTENNA (DESCRIPTION),EACH
725-20.91,CCTV CAMERA SYSTEM (PAN TILT & ZOOM),EACH
725-20.92,CCTV CAMERA SYSTEM (STATIC),EACH
725-20.93,CCTV CAMERA SYSTEM (INFRARED),EACH
725-20.94,CCTV CAMERA SYSTEM (DESCRIPTION),EACH
725-20.95,CAMERA COMMUNICATION AND POWER CABLE,L.F.
725-20.96,CCTV CAMERA SYSTEM REMOVE AND RELOCATE,EACH
725-20.97,CCTV COMM CABLE,L.F.
725-20.99,VIDEO ENCODER,EACH
725-21.01,DYNAMIC MESSAGE SIGN,EACH
725-21.02,DYNAMIC MESSAGE SIGN (MULTI-COLOR),EACH
725-21.03,DYNAMIC MESSAGE SIGN (DESCRIPTION),EACH
725-21.04,DYNAMIC MESSAGE SIGN REMOVAL,EACH
725-21.05,DYNAMIC MESSAGE SIGN REMOVE & REPLACE,EACH
725-21.07,PORTABLE SMART WORK ZONE SYSTEM,DAY
725-21.11,NETWORK SWITCH (TYPE A),EACH
725-21.12,NETWORK SWITCH (TYPE B),EACH
725-21.14,NETWORK CONFIGURATION,EACH
725-21.15,NETWORK SWITCH (DESCRIPTION),EACH
725-21.16,ETHERNET BRIDGE,EACH
725-21.17,ETHERNET BRIDGE (DESCRIPTION),EACH
725-21.18,DMS COMM CABLE,L.F.
725-21.19,DMS POWER CABLE,L.F.
725-21.20,DMS CONDUIT BANK STRUCTURE,L.F.
725-21.21,TERMINAL SERVER,EACH
725-21.24,DYNAMIC MESSAGE SIGN (FULL COLOR),EACH
725-21.25,DYNAMIC MESSAGE SIGN (OVER LANE DMS ARRAY),EACH
725-21.26,DYNAMIC MESSAGE SIGN (OVER SHOULDER DMS),EACH
725-21.31,CAT 5 CABLE,L.F.
725-21.32,CAT 6 CABLE,L.F.
725-21.41,DEMARCATION SITE (OVRHEAD PWR/COMM),EACH
725-21.42,DEMARCATION SITE (UNDERGROUND PWR/COMM),EACH
725-21.43,DEMARCATION SITE (OVERHEAD POWER),EACH
725-21.44,DEMARCATION SITE (UNDERGROUND POWER),EACH
725-21.47,DEMARCATION POINT CUTOVER,EACH
725-21.48,DEMARCATION POINT RISER ASSEMBLY,EACH
725-21.49,MODIFY ELECTRICAL DEMARCATION POINT,EACH
725-21.52,REMOVAL & REPLACE TYPE B CABINET,EACH
725-21.53,REMOVAL & REPLACE TYPE C CABINET,EACH
725-21.71,TRANSFORMER TYPE A (10KVA),EACH
725-21.72,TRANSFORMER TYPE B (5KVA),EACH
725-21.73,TRANSFORMER (DESCRIPTION),EACH
725-21.85,UNINTERRUPTIBLE POWER SUPPLY,EACH
725-21.87,ENVIRONMENTAL SENSOR COMM CABLE,L.F.
725-21.90,RDS POLE REMOVE AND RELOCATE,EACH
725-21.91,RADAR DETECTION SYSTEM,EACH
725-21.92,RADAR DETECTION SYSTEM (DESCRIPTION),EACH
725-21.93,RADAR DETECTION SYSTEM (DESCRIPTION),EACH
725-21.94,RADAR DETECTION SYSTEM REMOVE & RELOCATE,EACH
725-21.95,RADAR DETECTION SYSTEM REMOVAL,EACH
725-21.96,RDS COMM CABLE,L.F.
725-21.97,SOLAR POWER FOR RDS,EACH
725-21.98,RDS COMM AND LOGIC  CONTROLLER,EACH
725-22.06,HAR FLASHING BEACON SIGN REMOVE & RELOCATE,EACH
725-22.13,ENVIRONMENTAL SENSOR (PVMT TEMP & PRECIP),EACH
725-22.16,"ENVIRONMENTAL SENSOR (PVMT TEMP, PRECIP, & VISIBILITY)",EACH
725-22.21,CONDUIT BANK (TYPE 1),L.F.
725-22.22,CONDUIT BANK (TYPE 2),L.F.
725-22.23,CONDUIT BANK (TYPE 3),L.F.
725-22.24,CONDUIT BANK (TYPE 4),L.F.
725-22.25,CONDUIT BANK (DESCRIPTION),L.F.
725-22.26,CONDUIT BANK (MICRO-CONDUIT),L.F.
725-22.31,CONDUIT BANK BORED (TYPE 1),L.F.
725-22.32,CONDUIT BANK BORED (TYPE 2),L.F.
725-22.33,CONDUIT BANK BORED (TYPE 3),L.F.
725-22.34,CONDUIT BANK BORED (TYPE 4),L.F.
725-22.35,CONDUIT BANK BORED (DESCRIPTION),L.F.
725-22.36,CONDUIT BANK BORED (MICRO-CONDUIT),L.F.
725-22.42,CONDUIT BANK IN ROCK (TYPE 2),L.F.
725-22.44,CONDUIT BANK IN ROCK (TYPE 4),L.F.
725-22.45,CONDUIT BANK BORED (DESCRIPTION),L.F.
725-22.50,DMS CONDUIT BANK,L.F.
725-22.61,STRUCTURE CONDUIT BANK (TYPE 1),L.F.
725-22.62,STRUCTURE CONDUIT BANK (TYPE 2),L.F.
725-22.64,STRUCTURE CONDUIT BANK (TYPE 4),L.F.
725-22.65,STRUCTURE CONDUIT BANK (DESCRIPTION),L.F.
725-22.71,2IN CONDUIT,L.F.
725-22.72,2IN CONDUIT BORED,L.F.
725-22.73,2IN STRUCTURE CONDUIT,L.F.
725-22.74,2IN CONDUIT W/BANK,L.F.
725-22.75,2IN CONDUIT BORED W/BANK,L.F.
725-22.76,2IN CONDUIT STRUCTURE W/BANK,L.F.
725-22.78,3IN CONDUIT,L.F.
725-22.79,3IN CONDUIT BORED,L.F.
725-22.80,3IN CONDUIT W/BANK,L.F.
725-22.81,3IN CONDUIT BORED W/BANK,L.F.
725-22.85,4IN CONDUIT BORED W/BANK,L.F.
725-22.86,4IN CONDUIT BORED,L.F.
725-23.01,ITS CABLE MARKER,EACH
725-23.02,FIBER OPTIC TESTING,LS
725-23.10,FIBER OPTIC CABLE (72 F),L.F.
725-23.11,FIBER OPTIC CABLE (60 F),L.F.
725-23.12,FIBER OPTIC CABLE (48 F),L.F.
725-23.13,FIBER OPTIC CABLE (12 F),L.F.
725-23.14,FIBER OPTIC CABLE (6 F),L.F.
725-23.16,FIBER OPTIC CABLE (144F),L.F.
725-23.17,FIBER OPTIC MICRO-CABLE (144 F),L.F.
725-23.21,FIBER OPTIC DROP CABLE (12 F),L.F.
725-23.22,FIBER OPTIC DROP CABLE ( 6 F ),L.F.
725-23.23,FIBER OPTIC DROP CABLE ( 4 F ),L.F.
725-23.24,FIBER OPTIC DROP CABLE (DESCRIPTION),L.F.
725-23.25,FIBER OPTIC CLOSURE (72 F ),EACH
725-23.26,FIBER OPTIC CLOSURE (12 F),EACH
725-23.27,FIBER OPTIC CLOSURE (DESCRIPTION),EACH
725-23.28,FIBER OPTIC SPLICE FUSION,EACH
725-23.29,FIBER OPTIC TERMINATION CABINET,EACH
725-23.30,FIBER OPTIC TERMINATION CABINET (144 F),EACH
725-23.31,FIBER OPTIC DROP PANEL ( 12 F ),EACH
725-23.32,FIBER OPTIC SPLICE MODIFICATION,EACH
725-24.01,CABINET (TYPE A),EACH
725-24.02,CABINET (TYPE B),EACH
725-24.03,CABINET (TYPE C),EACH
725-24.08,CABINET MODIFICATION (TYPE B - CCTV),EACH
725-24.09,CABINET MODIFICATION (TYPE C - DMS),EACH
725-24.11,ITS COMMUNICATIONS HUB (DESCRIPTION),EACH
725-24.12,ITS COMMUNICATIONS HUB (DESCRIPTION),EACH
725-24.13,ITS COMMUNICATIONS HUB MODIFICATION,EACH
725-24.21,PREVENTIVE MAINTENANCE FOR SYSTEM,LS
725-24.25,UNSCHEDULED MAINTENANCE LABOR,HOUR
725-24.31,SPARE PARTS,LS
725-24.32,EQUIPMENT REPLACEMENT,DOLL
725-24.41,BURN-IN PERIOD,LS
725-24.51,SYSTEM INTEGRATION,LS
725-24.52,SOFTWARE INTEGRATION,LS
725-24.53,SYSTEM CUTOVER,LS
725-24.54,NETWORK INTEGRATION,LS
725-24.55,AS-BUILT PLANS,LS
725-24.61,TRAINING,LS
725-24.62,TRAINING,HOUR
725-24.70,DEMARCATION TRANSFORMER (240V TO 480V 1PH 5KVA),EACH
725-24.71,DEMARCATION TRANSFORMER (240V TO 600V 1PH 5KVA),EACH
725-24.72,DEMARCATION TRANSFORMER (240V TO 480V 1PH 7.5KVA),EACH
725-24.85,CABINET TRANSFORMER (480V TO 120V 1PH 5KVA),EACH
725-24.86,CABINET TRANSFORMER (600V TO 120V 1PH 5KVA),EACH
725-24.87,CABINET TRANSFORMER (240V TO 120/240V 1PH 5KVA),EACH
725-24.88,CABINET TRANSFORMER (480V TO 120/240V 1PH 50KVA),EACH
725-24.90,CABINET TRANSFORMER (480V TO 120V 1PH 3KVA),EACH
725-28.01,ROAD SIDE UNIT (RSU),EACH
725-28.02,CONNECTED VEHICLE (CV) MODULE FOR CONTROLLER (ATC),EACH
725-28.03,CONNECTED VEHICLE (CV) MODULE FOR CENTRAL SOFTWARE,EACH
725-28.07,ETHERNET SWITCH (FIELD LAYER 2),EACH
725-28.08,ETHERNET SWITCH (DESCRIPTION),EACH
730-01.00,TRAFFIC SIGNALS,LS
730-01.01,REMOVE & RELOCATE EXISTING TRAFFIC SIGNAL EQUIPMENT,EACH
730-01.02,REMOVAL OF SIGNAL EQUIPMENT,EACH
730-01.03,MODIFICATION OF EXISTING TRAFFIC SIGNAL EQUIPMENT,EACH
730-01.04,MODIFICATION OF EXISTING TRAFFIC SIGNAL EQUIPMENT,LS
730-01.05,REMOVE & RELOCATE SCHOOL SIGNAL EQUIPMENT,LS
730-01.08,SCHOOL SPEED LIMIT FLASHING SIGNAL INSTALLED,EACH
730-01.09,UTILITY DUCT BANK,L.F.
730-01.12,SOLAR PANEL & POWER SYSTEM UNIT,EACH
730-01.95,DESIGN-BUILD TRAFFIC SIGNALS,LS
730-02.01,SIGNAL HEAD ASSEMBLY (110),EACH
730-02.02,SIGNAL HEAD ASSEMBLY (130 A3),EACH
730-02.03,SIGNAL HEAD ASSEMBLY (130 A3 WITH BACKPLATE),EACH
730-02.07,SIGNAL HEAD ASSEMBLY (130),EACH
730-02.08,SIGNAL HEAD ASSEMBLY (130 POLE MOUNTED),EACH
730-02.09,SIGNAL HEAD ASSEMBLY (130 WITH BACKPLATE),EACH
730-02.10,SIGNAL HEAD ASSEMBLY (130 A2),EACH
730-02.11,SIGNAL HEAD ASSEMBLY (130 A2 WITH BACKPLATE),EACH
730-02.13,SIGNAL HEAD ASSEMBLY (140 A1),EACH
730-02.14,SIGNAL HEAD ASSEMBLY (140 A1 WITH BACKPLATE),EACH
730-02.16,SIGNAL HEAD ASSEMBLY (150 A2H),EACH
730-02.17,SIGNAL HEAD ASSEMBLY (150 A2H WITH BACKPLATE),EACH
730-02.18,SIGNAL HEAD ASSEMBLY (150 A2 POLE MOUNTED),EACH
730-02.21,SIGNAL HEAD ASSEMBLY (220),EACH
730-02.24,SIGNAL HEAD ASSEMBLY (260),EACH
730-02.27,SIGNAL HEAD ASSEMBLY (440),EACH
730-02.30,SIGNAL HEAD ASSEMBLY (DESCRIPTION),EACH
730-02.31,SIGNAL HEAD ASSEMBLY (DESCRIPTION),EACH
730-02.32,SIGNAL HEAD ASSEMBLY (DESCRIPTION),EACH
730-02.33,SIGNAL HEAD ASSEMBLY (DESCRIPTION),EACH
730-02.34,SIGNAL HEAD ASSEMBLY (DESCRIPTION),EACH
730-02.36,SGNL AHD SGN W/FLSHNG LGHTS (GRND MNTD),EACH
730-02.41,SIGNAL HEAD MODIFICATION (DESCRIPTION),EACH
730-02.42,SIGNAL HEAD MODIFICATION (DESCRIPTION),EACH
730-02.51,SIGNAL HEAD ASSEMBLY (130 A3F WITH BACKPLATE),EACH
730-02.54,SIGNAL HEAD ASSEMBLY (130 A3FY),EACH
730-02.55,SIGNAL HEAD ASSEMBLY (130 A3FY WITH BACKPLATE),EACH
730-02.57,SIGNAL HEAD ASSEMBLY (140 A3F WITH BACKPLATE),EACH
730-02.59,SIGNAL HEAD ASSEMBLY (140 A4F WITH BACKPLATE),EACH
730-03.11,INSTALL SPLICE BOX (DESCRIPTION),EACH
730-03.12,AERIAL SPLICE ENCLOSURE,EACH
730-03.20,INSTALL PULL BOX (TYPE A),EACH
730-03.21,INSTALL PULL BOX (TYPE B),EACH
730-03.23,INSTALL PULL BOX (FIBER OPTIC-TYPE A),EACH
730-03.24,INSTALL PULL BOX (FIBER OPTIC-TYPE B),EACH
730-03.25,INSTALL PULL BOX (DESCRIPTION),EACH
730-03.31,FIBER DISTRIBUTION BOX,EACH
730-03.32,FIBER OPTIC DROP CABLE,L.F.
730-03.33,FIBER OPTIC SPLICE FUSION,EACH
730-03.34,FIBER OPTIC TERMINATION CABINET,EACH
730-03.35,FIBER OPTIC TERMINATION SPLICE UNIT,EACH
730-03.36,FIBER SPLICE ENCLOSURE (DESCRIPTION),EACH
730-03.40,NETWORK SWITCH (DESCRIPTION),EACH
730-03.41,ETHERNET SWITCH (FIELD LAYER 2),EACH
730-03.42,ETHERNET SWITCH (DESCRIPTION),EACH
730-03.50,FIBER OPTIC CABLE (48F),L.F.
730-03.51,FIBER OPTIC CABLE (12F),L.F.
730-03.52,FIBER OPTIC CABLE (6F),L.F.
730-03.53,FIBER OPTIC CABLE (DESCRIPTION),L.F.
730-03.54,FIBER OPTIC DROP CABLE (12F),L.F.
730-03.55,FIBER OPTIC DROP CABLE (6F),L.F.
730-03.56,FIBER OPTIC DROP CABLE (DESCRIPTION),L.F.
730-03.57,FIBER OPTIC DROP PANEL (DESCRIPTION),EACH
730-05.01,ELECTRICAL SERVICE CONNECTION,EACH
730-05.02,"SERVICE CABLE (2 CONDUCTOR, # 8 AWG)",L.F.
730-05.03,SERVICE CABLE (DESCRIPTION),L.F.
730-05.04,MODIFY EXISTING ELECTRICAL SERVICE CONNECTION,EACH
730-05.05,ELECTRICAL SERVICE CONNECTION (DESCRIPTION),EACH
730-05.06,ELECTRICAL SERVICE CONNECTION (PHB),EACH
730-05.99,MODIFY EXISTING ELECTRICAL SERVICE CONNECTION (INVOICE COST),DOLL
730-08.01,SIGNAL CABLE - 3 CONDUCTOR,L.F.
730-08.02,SIGNAL CABLE - 5 CONDUCTOR,L.F.
730-08.03,SIGNAL CABLE - 7 CONDUCTOR,L.F.
730-08.04,SIGNAL CABLE - 9 CONDUCTOR,L.F.
730-08.05,SIGNAL CABLE - 12 CONDUCTOR,L.F.
730-08.08,SIGNAL CABLE - 2 CONDUCTOR SHIELDED,L.F.
730-08.10,SIGNAL CABLE - (DESCRIPTION),L.F.
730-08.11,SIGNAL CABLE - (DESCRIPTION),L.F.
730-08.12,SIGNAL CABLE - (DESCRIPTION),L.F.
730-08.30,INTERCONNECT CABLE (COPPER-TWISTED PAIR),L.F.
730-08.31,INTERCONNECT CABLE (12 FIBER MULTI-MODE),L.F.
730-08.32,INTERCONNECT CABLE (DESCRIPTION),L.F.
730-08.33,INTERCONNECT CABLE (DESCRIPTION),L.F.
730-08.40,INTERCONNECT CABLE - FIBER OPTIC (DESCRIPTION),L.F.
730-08.41,INTERCONNECT CABLE - FIBER OPTIC (DESCRIPTION),L.F.
730-08.42,INTERCONNECT CABLE - FIBER OPTIC (DESCRIPTION),L.F.
730-09.01,SPAN WIRE ASSEMBLY(____LBS.MIN.BRK STRENGTH),L.F.
730-09.02,SPAN WIRE ASSEMBLY(____LBS.MIN.BRK STRENGTH),L.F.
730-09.03,SPAN WIRE ASSEMBLY(____LBS.MIN.BRK STRENGTH),L.F.
730-09.04,SPAN WIRE ASSEMBLY(____LBS.MIN.BRK STRENGTH),L.F.
730-09.20,SPAN WIRE ASSEMBLY,L.F.
730-09.21,SPAN WIRE ASSEMBLY (LOCATION DESCRIPTION),L.F.
730-09.22,SPAN WIRE ASSEMBLY (LOCATION DESCRIPTION),L.F.
730-09.23,SPAN WIRE ASSEMBLY (LOCATION DESCRIPTION),L.F.
730-09.24,SPAN WIRE ASSEMBLY (LOCATION DESCRIPTION),L.F.
730-09.25,SPAN WIRE ASSEMBLY (LOCATION DESCRIPTION),L.F.
730-09.26,SPAN WIRE ASSEMBLY (LOCATION DESCRIPTION),L.F.
730-10.01,TETHER WIRE ASSEMBLY - 1/4 DIAMETER,L.F.
730-10.02,MESSENGER CABLE - 1/4 DIAMETER,L.F.
730-11.01,STEEL CONDUIT RISER ASSEMBLY,EACH
730-11.10,RISER ASSEMBLY (DESCRIPTION),EACH
730-11.11,RISER ASSEMBLY (DESCRIPTION),EACH
730-11.12,RISER ASSEMBLY (DESCRIPTION),EACH
730-12.01,CONDUIT 1 DIAMETER (PVC SCHEDULE 40),L.F.
730-12.02,CONDUIT 2 DIAMETER (PVC SCHEDULE 40),L.F.
730-12.03,CONDUIT 3 DIAMETER (PVC SCHEDULE 40),L.F.
730-12.04,CONDUIT 4 DIAMETER (PVC SCHEDULE 40),L.F.
730-12.06,CONDUIT 2 1/2 DIAMETER (PVC),L.F.
730-12.07,CONDUIT 1 DIAMETER (RGS),L.F.
730-12.08,CONDUIT 2 DIAMETER (RGS),L.F.
730-12.09,CONDUIT 3 DIAMETER (RGS),L.F.
730-12.10,CONDUIT 4 DIAMETER (RGS),L.F.
730-12.12,CONDUIT 1 DIAMETER (JACK AND BORE),L.F.
730-12.13,CONDUIT 2 DIAMETER (JACK AND BORE),L.F.
730-12.14,CONDUIT 3 DIAMETER (JACK AND BORE),L.F.
730-12.15,CONDUIT 4 DIAMETER (JACK AND BORE),L.F.
730-12.16,CONDUIT (DESCRIPTION),L.F.
730-12.17,CONDUIT (DESCRIPTION),L.F.
730-12.18,CONDUIT (DESCRIPTION),L.F.
730-12.22,PAINT (DESCRIPTION),LS
730-12.23,CONDUIT 2 DIAMETER (DIRECTIONAL BORE),L.F.
730-12.24,CONDUIT 3 DIAMETER (DIRECTIONAL BORE),L.F.
730-12.26,CONDUIT 2 DIAMETER (PVC SCHEDULE 80),L.F.
730-12.27,CONDUIT 3 DIAMETER (PVC SCHEDULE 80),L.F.
730-12.30,TRENCHING,L.F.
730-12.42,CURB MARKER (DESCRIPTION),EACH
730-13.01,VEHICLE DETECTOR (SHELF MOUNT),EACH
730-13.02,VEHICLE DETECTOR (VIDEO),EACH
730-13.03,"VEHICLE DETECTOR (4 - CHANNEL, RACK MOUNT)",EACH
730-13.05,VEHICLE DETECTOR (EXT. CALL - DELAY CALL),EACH
730-13.06,VEHICLE DETECTOR (OPTICALLY ACTIVATED PRIORITY CONTROL),EACH
730-13.07,VEHICLE DETECTOR (SIREN ACTIVATED PRIORITY CONTROL),EACH
730-13.08,VEHICLE DETECTOR (DESCRIPTION),EACH
730-13.09,VEHICLE DETECTOR (DESCRIPTION),EACH
730-13.10,VEHICLE DETECTOR (DESCRIPTION),EACH
730-13.11,VEHICLE DETECTOR (DESCRIPTION),EACH
730-13.12,VEHICLE DETECTOR (RADAR - STOP LINE),EACH
730-13.13,VEHICLE DETECTOR (RADAR - ADVANCE),EACH
730-13.14,VEHICLE DETECTOR (360-DEGREE CAMERA),EACH
730-13.15,VEHICLE DETECTOR (TWO 360-DEGREE CAMERA),EACH
730-13.16,VEHICLE DETECTOR (RADAR/VIDEO),EACH
730-14.01,SHIELDED DETECTOR CABLE,L.F.
730-14.02,SAW SLOT,L.F.
730-14.03,LOOP WIRE,L.F.
730-14.10,PREFORMED DETECTION LOOP(6FT x 6FT),EACH
730-14.11,PREFORMED DETECTION LOOP(DESCRIPTION),EACH
730-14.12,PREFORMED DETECTION LOOP(DESCRIPTION),EACH
730-15.07,CABINET (DESCRIPTION),EACH
730-15.08,CABINET (DESCRIPTION),EACH
730-15.09,CABINET (DESCRIPTION),EACH
730-15.10,MODIFY CABINET ( INSTALL COORDINATION UNIT),EACH
730-15.11,MODIFY CABINET (DESCRIPTION),EACH
730-15.12,MODIFY CABINET (DESCRIPTION),EACH
730-15.13,MODIFY CABINET (DESCRIPTION),EACH
730-15.30,CABINET (FOUR PHASE POLE MOUNTED),EACH
730-15.31,CABINET (FOUR PHASE BASE MOUNTED),EACH
730-15.32,CABINET (EIGHT PHASE BASE MOUNTED),EACH
730-15.40,CABINET (EIGHT PH FIBER BASE MOUNTED),EACH
730-15.41,EIGHT PH ACTUATED CONTROLLER (FIBER),EACH
730-15.42,MASTER CONTROLLER (FIBER),EACH
730-15.99,CABINET (MAT ONLY EXCLUDE FOUNDATION),EACH
730-16.01,FOUR PHASE ACTUATED CONTROLLER,EACH
730-16.02,EIGHT PHASE ACTUATED CONTROLLER,EACH
730-16.03,CONTROLLER (FLASHING BEACON),EACH
730-16.04,CONTROLLER (ATC),EACH
730-16.14,CONTROLLER (DESCRIPTION),EACH
730-16.25,INSTALLATION OF CABINET AND CONTROLLER,EACH
730-16.50,CONFLICT MONITOR,EACH
730-16.99,CONTROLLER (MAT ONLY),EACH
730-17.01,INSTALL MODEM,EACH
730-18.01,MASTER CONTROLLER,EACH
730-19.01,TIME BASE COORDINATION UNIT,EACH
730-20.01,LOCAL COORDINATOR,EACH
730-21.01,"WOOD POLE (SIGNAL SUPPORT) CLASS 3, 35 LENGTH",EACH
730-21.02,"WOOD POLE (SIGNAL SUPPORT) CLASS 3, 40 LENGTH",EACH
730-21.03,"WOOD POLE (SIGNAL SUPPORT) CLASS 3, 45 LENGTH",EACH
730-21.10,WOOD POLE (DESCRIPTION),EACH
730-22.02,GUYING DEVICE (ANGLE ANCHOR),EACH
730-23.01,STEEL STRAIN POLE (SIGNAL SUPPORT),EACH
730-23.02,STEEL STRAIN POLE (DESCRIPTION),EACH
730-23.03,STEEL STRAIN POLE (DESCRIPTION),EACH
730-23.04,STEEL STRAIN POLE (DESCRIPTION),EACH
730-23.05,STEEL STRAIN POLE (DESCRIPTION),EACH
730-23.10,STEEL STRAIN POLE (MAT ONLY EXCLUDE FOUNDATION),EACH
730-23.20,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-23.28,PEDESTAL POLE (TYPE A),EACH
730-23.29,PEDESTAL POLE (TYPE B),EACH
730-23.30,PEDESTAL POLE (DESCRIPTION),EACH
730-23.31,PEDESTAL POLE (DESCRIPTION),EACH
730-23.36,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-23.37,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-23.38,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-23.39,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-23.40,CANTILEVER SIGNAL SUPPORT (1 ARM @ 15),EACH
730-23.48,CANTILEVER SIGNAL SUPPORT (1 ARM @ 20),EACH
730-23.55,CANTILEVER SIGNAL SUPPORT (2 @ 20 & 45),EACH
730-23.56,CANTILEVER SIGNAL SUPPORT (1 ARM @ 25),EACH
730-23.61,CANTILEVER SIGNAL SUPPORT (2 @ 25 & 35),EACH
730-23.62,CANTILEVER SIGNAL SUPPORT (2 @ 25 & 40),EACH
730-23.64,CANTILEVER SIGNAL SUPPORT (1 ARM @ 30),EACH
730-23.70,CANTILEVER SIGNAL SUPPORT (2 @ 30 & 40),EACH
730-23.71,CANTILEVER SIGNAL SUPPORT (2 @ 30 & 45),EACH
730-23.72,CANTILEVER SIGNAL SUPPORT (1 ARM @ 35),EACH
730-23.78,CANTILEVER SIGNAL SUPPORT (2 @ 35 & 40),EACH
730-23.80,CANTILEVER SIGNAL SUPPORT (1 ARM @ 40),EACH
730-23.86,CANTILEVER SIGNAL SUPPORT (2 @ 40 & 40),EACH
730-23.87,CANTILEVER SIGNAL SUPPORT (2 @ 40 & 45),EACH
730-23.88,CANTILEVER SIGNAL SUPPORT (1 ARM @ 45),EACH
730-23.91,CANTILEVER SIGNAL SUPPORT (),EACH
730-23.94,CANTILEVER SIGNAL SUPPORT (2 @ 45 & 40),EACH
730-23.95,CANTILEVER SIGNAL SUPPORT (2 @ 45 & 45),EACH
730-23.96,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-23.97,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-23.98,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-23.99,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-24.01,FOUNDATION (SIGNAL SUPPORT),EACH
730-24.02,FOUNDATION (TRAFFIC SIGNAL CONTROLLER),EACH
730-24.03,"FOUNDATION - CANTILEVER SIGNAL SUPPORT,(_____)",EACH
730-24.04,"FOUNDATION - CANTILEVER SIGNAL SUPPORT,(_____)",EACH
730-24.05,"FOUNDATION - CANTILEVER SIGNAL SUPPORT,(_____)",EACH
730-24.06,"FOUNDATION - CANTILEVER SIGNAL SUPPORT,(_____)",EACH
730-24.07,"FOUNDATION (PEDESTRIAN POLE,_____)",EACH
730-24.08,FOUNDATION (DESCRIPTION),EACH
730-24.09,FOUNDATION (DESCRIPTION),EACH
730-24.10,FOUNDATION (DESCRIPTION),EACH
730-24.41,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-24.42,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-24.43,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-24.44,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-24.45,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
730-24.46,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH
